input_id	dealiased_id	standard_id	short_id
doi:10.1109/MIC.2014.88	doi:10.1109/MIC.2014.88	doi:10.1109/mic.2014.88	P66ASHG
doi:10.1109/SECSE.2009.5069155	doi:10.1109/SECSE.2009.5069155	doi:10.1109/secse.2009.5069155	fJWFe93e
doi:10.1101/2022.03.10.483804	doi:10.1101/2022.03.10.483804	doi:10.1101/2022.03.10.483804	NwrEMaFV
doi:10.1371/journal.pone.0205898	doi:10.1371/journal.pone.0205898	doi:10.1371/journal.pone.0205898	161bJhAyl
https://chanzuckerberg.com/eoss/	https://chanzuckerberg.com/eoss/	url:https://chanzuckerberg.com/eoss/	AXsRFu5M
doi:10.1109/MS.2007.155	doi:10.1109/MS.2007.155	doi:10.1109/ms.2007.155	LAj3scYO
DOI:10.1109/SECSE.2009.5069155	DOI:10.1109/SECSE.2009.5069155	doi:10.1109/secse.2009.5069155	fJWFe93e
doi:10.7717/peerj-cs.839	doi:10.7717/peerj-cs.839	doi:10.7717/peerj-cs.839	10uv4hoEv
doi:10.1145/3084225	doi:10.1145/3084225	doi:10.1145/3084225	Q53xXrgr
doi:10.1038/d41586-023-00053-w	doi:10.1038/d41586-023-00053-w	doi:10.1038/d41586-023-00053-w	1F1Qe52Lu
doi:10.1038/d41586-022-01516-2	doi:10.1038/d41586-022-01516-2	doi:10.1038/d41586-022-01516-2	lb4ZpJmB
doi:10.1038/d41586-022-01901-x	doi:10.1038/d41586-022-01901-x	doi:10.1038/d41586-022-01901-x	TWrdAuSr
doi:10.48550/arXiv.1804.01954	doi:10.48550/arXiv.1804.01954	doi:10.48550/arxiv.1804.01954	14uh60177
https://iso25000.com/index.php/en/iso-25000-standards/iso-25010?limit=3%20	https://iso25000.com/index.php/en/iso-25000-standards/iso-25010?limit=3%20	url:https://iso25000.com/index.php/en/iso-25000-standards/iso-25010?limit=3%20	16TRJmxtX
doi:10.12688/f1000research.29032.1	doi:10.12688/f1000research.29032.1	doi:10.12688/f1000research.29032.1	fVLvtRTc
doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	4XDvZWxk
https://www.anaconda.com/	https://www.anaconda.com/	url:https://www.anaconda.com/	ejrNkEAL
https://docs.docker.com/	https://docs.docker.com/	url:https://docs.docker.com/	qX419rCR
https://apptainer.org/	https://apptainer.org/	url:https://apptainer.org/	BTJpICMh
doi:10.1186/s13024-022-00517-z	doi:10.1186/s13024-022-00517-z	doi:10.1186/s13024-022-00517-z	gmFcMi0V
doi:10.1016/j.jtho.2022.11.006	doi:10.1016/j.jtho.2022.11.006	doi:10.1016/j.jtho.2022.11.006	1HD0PnsLM
doi:10.7287/peerj.preprints.2996	doi:10.7287/peerj.preprints.2996	doi:10.7287/peerj.preprints.2996	FJ6VOBKy
doi:10.1016/j.jmoldx.2017.11.003	doi:10.1016/j.jmoldx.2017.11.003	doi:10.1016/j.jmoldx.2017.11.003	cMOFQrjN
doi:10.1093/bib/bbw134	doi:10.1093/bib/bbw134	doi:10.1093/bib/bbw134	1G5MoLsVr
doi:10.1371/journal.pcbi.1008645	doi:10.1371/journal.pcbi.1008645	doi:10.1371/journal.pcbi.1008645	1AjC5sp3x
doi:10.7287/peerj.preprints.2996v1	doi:10.7287/peerj.preprints.2996v1	doi:10.7287/peerj.preprints.2996v1	S6gKngan
https://faculty.washington.edu/ajko/books/cooperative-software-development	https://faculty.washington.edu/ajko/books/cooperative-software-development	url:https://faculty.washington.edu/ajko/books/cooperative-software-development	BMxKyBvU
doi:10.1007/s10664-012-9205-0	doi:10.1007/s10664-012-9205-0	doi:10.1007/s10664-012-9205-0	EhDaAbSA
doi:10.1371/journal.pcbi.1008119	doi:10.1371/journal.pcbi.1008119	doi:10.1371/journal.pcbi.1008119	H5HCY7no
doi:10.5334/jors.35	doi:10.5334/jors.35	doi:10.5334/jors.35	16AfDLePW
ISBN:9780201616224	ISBN:9780201616224	isbn:9780201616224	OkkYJWTs
